val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.22250832997252354, 'Acc': 0.35720844811753905, 'loss': 4.520422424095265}",4.520422424095265,0,544,
,,0,544,"{'F1': 0.1802372729831008, 'Acc': 0.33595363782419096, 'loss': 5.083435636047923}"
"{'F1': 0.17315634910798933, 'Acc': 0.3365472910927456, 'loss': 4.600936091464499}",4.600936091464499,1,1089,
,,1,1089,"{'F1': 0.1918041119314365, 'Acc': 0.3458801927932063, 'loss': 4.847652203446135}"
"{'F1': 0.19202402546483643, 'Acc': 0.3558310376492195, 'loss': 4.875618519990341}",4.875618519990341,2,1634,
,,2,1634,"{'F1': 0.18950795037669216, 'Acc': 0.3401422997475327, 'loss': 4.88070379309698}"
"{'F1': 0.18628437019884989, 'Acc': 0.39302112029384756, 'loss': 4.644011210704195}",4.644011210704195,3,2179,
,,3,2179,"{'F1': 0.19389940552054744, 'Acc': 0.3497819600642644, 'loss': 4.845463971697956}"
"{'F1': 0.19444288154697933, 'Acc': 0.3691460055096419, 'loss': 5.430038445237754}",5.430038445237754,4,2724,
,,4,2724,"{'F1': 0.19829304477691118, 'Acc': 0.35012623364700485, 'loss': 4.87860045564284}"
"{'F1': 0.1842319525990604, 'Acc': 0.41919191919191917, 'loss': 4.363936614299166}",4.363936614299166,5,3269,
,,5,3269,"{'F1': 0.19796704855033628, 'Acc': 0.3500114757860914, 'loss': 4.966786437734552}"
"{'F1': 0.17758368714429404, 'Acc': 0.3512396694214876, 'loss': 6.205819691652837}",6.205819691652837,6,3814,
,,6,3814,"{'F1': 0.20283898624162253, 'Acc': 0.357929768189121, 'loss': 4.812548987799828}"
"{'F1': 0.20587389523795033, 'Acc': 0.3544536271808999, 'loss': 5.842543926791868}",5.842543926791868,7,4359,
,,7,4359,"{'F1': 0.19767125667283056, 'Acc': 0.3507000229515722, 'loss': 4.848049046140198}"
"{'F1': 0.1799002167615946, 'Acc': 0.3640955004591368, 'loss': 5.077607928734759}",5.077607928734759,8,4904,
,,8,4904,"{'F1': 0.2011048892340507, 'Acc': 0.3554624741794813, 'loss': 4.897928473490094}"
"{'F1': 0.18961755958298143, 'Acc': 0.39026629935720847, 'loss': 4.495074634966643}",4.495074634966643,9,5449,
,,9,5449,"{'F1': 0.19820551617504029, 'Acc': 0.3548313059444572, 'loss': 4.75739014301825}"
"{'F1': 0.2245864503728366, 'Acc': 0.31450872359963267, 'loss': 5.492881146030149}",5.492881146030149,10,5994,
,,10,5994,"{'F1': 0.19644216647523788, 'Acc': 0.3541427587789764, 'loss': 5.0827309472845235}"
"{'F1': 0.20796360020784138, 'Acc': 0.3787878787878788, 'loss': 6.492436419362607}",6.492436419362607,11,6539,
,,11,6539,"{'F1': 0.19983930548043013, 'Acc': 0.35988065182465, 'loss': 5.053089026573601}"
"{'F1': 0.18463664982462508, 'Acc': 0.3370064279155188, 'loss': 4.79411867044974}",4.79411867044974,12,7084,
,,12,7084,"{'F1': 0.20698278109012383, 'Acc': 0.3581592839109479, 'loss': 5.0287055654263275}"
"{'F1': 0.18601342236744012, 'Acc': 0.3507805325987144, 'loss': 4.61681464444036}",4.61681464444036,13,7629,
,,13,7629,"{'F1': 0.20129697591257054, 'Acc': 0.35506082166628417, 'loss': 4.952475375429206}"
"{'F1': 0.19522115219700015, 'Acc': 0.4081726354453627, 'loss': 5.1305764377981}",5.1305764377981,14,8174,
,,14,8174,"{'F1': 0.2011042810717915, 'Acc': 0.35310993803075513, 'loss': 5.242434084743535}"
"{'F1': 0.2073054837224099, 'Acc': 0.3985307621671258, 'loss': 4.62242560758107}",4.62242560758107,15,8719,
,,15,8719,"{'F1': 0.2111369449083941, 'Acc': 0.36102823043378474, 'loss': 4.893835540430262}"
