val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.2792310875459663, 'Acc': 0.46831955922865015, 'loss': 2.252943692000016}",2.252943692000016,0,544,
,,0,544,"{'F1': 0.2710469465402998, 'Acc': 0.4192104659169153, 'loss': 2.7023336132732005}"
"{'F1': 0.24997932522676977, 'Acc': 0.45454545454545453, 'loss': 2.799055068389229}",2.799055068389229,1,1089,
,,1,1089,"{'F1': 0.2715346195258115, 'Acc': 0.4259811797108102, 'loss': 2.674096938229482}"
"{'F1': 0.23156724424627764, 'Acc': 0.41368227731864093, 'loss': 2.541938911313596}",2.541938911313596,2,1634,
,,2,1634,"{'F1': 0.2822459236851867, 'Acc': 0.42730089511131514, 'loss': 2.7108235297946757}"
"{'F1': 0.24246158131116474, 'Acc': 0.4527089072543618, 'loss': 2.564183927964473}",2.564183927964473,3,2179,
,,3,2179,"{'F1': 0.27651723087624197, 'Acc': 0.43143217810420015, 'loss': 2.6808085594702202}"
"{'F1': 0.26393454869649746, 'Acc': 0.4118457300275482, 'loss': 3.364741211352141}",3.364741211352141,4,2724,
,,4,2724,"{'F1': 0.26751157990097524, 'Acc': 0.42259582281386276, 'loss': 2.7691825731084982}"
"{'F1': 0.28041078605532954, 'Acc': 0.44811753902662993, 'loss': 2.565630795299143}",2.565630795299143,5,3269,
,,5,3269,"{'F1': 0.2665794904574318, 'Acc': 0.4269566215285747, 'loss': 2.6890490958450037}"
"{'F1': 0.28841237276419845, 'Acc': 0.44398530762167127, 'loss': 2.509658692539602}",2.509658692539602,6,3814,
,,6,3814,"{'F1': 0.2661932522895379, 'Acc': 0.42144824420472804, 'loss': 2.703453646887333}"
"{'F1': 0.2664990715859189, 'Acc': 0.4724517906336088, 'loss': 2.254401018654091}",2.254401018654091,7,4359,
,,7,4359,"{'F1': 0.2732909546916063, 'Acc': 0.4266123479458343, 'loss': 2.6630259693215748}"
"{'F1': 0.2910251540673087, 'Acc': 0.4123048668503214, 'loss': 3.0823584570400957}",3.0823584570400957,8,4904,
,,8,4904,"{'F1': 0.26512747773800754, 'Acc': 0.4256942850585265, 'loss': 2.7900077093631848}"
"{'F1': 0.2573991753983412, 'Acc': 0.43067033976124885, 'loss': 2.8888515579527705}",2.8888515579527705,9,5449,
,,9,5449,"{'F1': 0.27613809245092996, 'Acc': 0.43401422997475325, 'loss': 2.6456725947353816}"
"{'F1': 0.24241523004998006, 'Acc': 0.39807162534435264, 'loss': 2.9728813236174374}",2.9728813236174374,10,5994,
,,10,5994,"{'F1': 0.27824387894603897, 'Acc': 0.4332683038788157, 'loss': 2.7337503100753926}"
