val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.28621398266561215, 'Acc': 0.4738292011019284, 'loss': 2.3612568758536074}",2.3612568758536074,0,544,
,,0,544,"{'F1': 0.26104561159403095, 'Acc': 0.4399816387422538, 'loss': 2.727801533685912}"
"{'F1': 0.2907118944242221, 'Acc': 0.47842056932966026, 'loss': 2.503884059795435}",2.503884059795435,1,1089,
,,1,1089,"{'F1': 0.2773020494547134, 'Acc': 0.4596626118889144, 'loss': 2.5411970313535917}"
"{'F1': 0.27184727948113024, 'Acc': 0.4825528007346189, 'loss': 2.444457945616349}",2.444457945616349,2,1634,
,,2,1634,"{'F1': 0.28539676928246843, 'Acc': 0.46809731466605464, 'loss': 2.6589134638462593}"
"{'F1': 0.3139504085630262, 'Acc': 0.5078053259871441, 'loss': 2.4524801226629727}",2.4524801226629727,3,2179,
,,3,2179,"{'F1': 0.28900850403420464, 'Acc': 0.4745237548772091, 'loss': 2.4734786185649558}"
"{'F1': 0.2628935875713798, 'Acc': 0.5146923783287419, 'loss': 2.5412412138952725}",2.5412412138952725,4,2724,
,,4,2724,"{'F1': 0.300898362785541, 'Acc': 0.48095019508836356, 'loss': 2.4475655113885164}"
"{'F1': 0.2901849032491978, 'Acc': 0.5013774104683195, 'loss': 2.5119133047435596}",2.5119133047435596,5,3269,
,,5,3269,"{'F1': 0.2957073192728178, 'Acc': 0.48014689006196926, 'loss': 2.5036108565986703}"
"{'F1': 0.30572540469408993, 'Acc': 0.48622589531680444, 'loss': 2.8172040141147114}",2.8172040141147114,6,3814,
,,6,3814,"{'F1': 0.28640621052911097, 'Acc': 0.48020426899242596, 'loss': 2.555523265173676}"
"{'F1': 0.2835835431315483, 'Acc': 0.4797979797979798, 'loss': 2.350232769343732}",2.350232769343732,7,4359,
,,7,4359,"{'F1': 0.29993950736230496, 'Acc': 0.48571264631627264, 'loss': 2.4558404726719636}"
"{'F1': 0.2875488568578892, 'Acc': 0.5169880624426079, 'loss': 2.549985908943674}",2.549985908943674,8,4904,
,,8,4904,"{'F1': 0.2954704174826256, 'Acc': 0.4854831305944457, 'loss': 2.471655676780491}"
"{'F1': 0.3425315512888288, 'Acc': 0.5036730945821855, 'loss': 2.3878941933314004}",2.3878941933314004,9,5449,
,,9,5449,"{'F1': 0.29697401331474726, 'Acc': 0.4853109938030755, 'loss': 2.558412826498714}"
"{'F1': 0.3268286386179212, 'Acc': 0.5486685032139578, 'loss': 2.62170948671258}",2.62170948671258,10,5994,
,,10,5994,"{'F1': 0.2947311421587727, 'Acc': 0.4874913931604315, 'loss': 2.456417901800313}"
"{'F1': 0.2932834215441877, 'Acc': 0.5050505050505051, 'loss': 3.4422111110356837}",3.4422111110356837,11,6539,
,,11,6539,"{'F1': 0.30225854094325544, 'Acc': 0.48686022492540737, 'loss': 2.4404046364880485}"
"{'F1': 0.27189153910836295, 'Acc': 0.5303030303030303, 'loss': 2.4235320229461226}",2.4235320229461226,12,7084,
,,12,7084,"{'F1': 0.30405368816947936, 'Acc': 0.4932292862061051, 'loss': 2.5178158543525484}"
"{'F1': 0.24778963815044425, 'Acc': 0.5183654729109275, 'loss': 2.841843361439912}",2.841843361439912,13,7629,
,,13,7629,"{'F1': 0.2995171457277056, 'Acc': 0.48812256139545557, 'loss': 2.542156302819558}"
"{'F1': 0.31274981863573814, 'Acc': 0.4935720844811754, 'loss': 2.555516115133313}",2.555516115133313,14,8174,
,,14,8174,"{'F1': 0.2896740927796299, 'Acc': 0.4827863208629791, 'loss': 2.50063277198634}"
"{'F1': 0.29724232613819523, 'Acc': 0.522038567493113, 'loss': 2.5104402455946673}",2.5104402455946673,15,8719,
,,15,8719,"{'F1': 0.30138757061952964, 'Acc': 0.48817994032591233, 'loss': 2.4922281018090904}"
"{'F1': 0.3345298249878694, 'Acc': 0.494949494949495, 'loss': 2.5351481143979058}",2.5351481143979058,16,9264,
,,16,9264,"{'F1': 0.2998962426595235, 'Acc': 0.48772090888225844, 'loss': 2.523571929144203}"
"{'F1': 0.30262224015743605, 'Acc': 0.5013774104683195, 'loss': 2.5801944991816645}",2.5801944991816645,17,9809,
,,17,9809,"{'F1': 0.29574291783531576, 'Acc': 0.48628643562084, 'loss': 2.435799694608111}"
