val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.2455662234726736, 'Acc': 0.46786042240587694, 'loss': 2.556112277335015}",2.556112277335015,0,544,
,,0,544,"{'F1': 0.24500104658962774, 'Acc': 0.4271287583199449, 'loss': 2.7883629588905823}"
"{'F1': 0.3042069417709578, 'Acc': 0.4839302112029385, 'loss': 2.6251614111057227}",2.6251614111057227,1,1089,
,,1,1089,"{'F1': 0.26492774062357816, 'Acc': 0.4541542345650677, 'loss': 2.6706347170226072}"
"{'F1': 0.2561357818448531, 'Acc': 0.5247933884297521, 'loss': 2.7642027251962302}",2.7642027251962302,2,1634,
,,2,1634,"{'F1': 0.26781623232581203, 'Acc': 0.4553591921046592, 'loss': 2.8140895395103946}"
"{'F1': 0.2452047170676827, 'Acc': 0.49908172635445364, 'loss': 2.7202878379519433}",2.7202878379519433,3,2179,
,,3,2179,"{'F1': 0.27029189223809025, 'Acc': 0.4598347486802846, 'loss': 2.6249150024641543}"
"{'F1': 0.3002410319927159, 'Acc': 0.509641873278237, 'loss': 2.931915577771007}",2.931915577771007,4,2724,
,,4,2724,"{'F1': 0.26651406431978775, 'Acc': 0.4612118430112463, 'loss': 2.5948671818873206}"
"{'F1': 0.3062060969298023, 'Acc': 0.4494949494949495, 'loss': 2.58219419700512}",2.58219419700512,5,3269,
,,5,3269,"{'F1': 0.2742161281836005, 'Acc': 0.4670071149873766, 'loss': 2.5229797807308514}"
"{'F1': 0.23572482474269854, 'Acc': 0.4706152433425161, 'loss': 2.6506451079756888}",2.6506451079756888,6,3814,
,,6,3814,"{'F1': 0.2736227088375115, 'Acc': 0.4663185678218958, 'loss': 2.6625207658207746}"
"{'F1': 0.26080555544037076, 'Acc': 0.5013774104683195, 'loss': 2.5740569950877754}",2.5740569950877754,7,4359,
,,7,4359,"{'F1': 0.27834223907560157, 'Acc': 0.46339224236860227, 'loss': 2.625547486707705}"
"{'F1': 0.266991677987776, 'Acc': 0.5174471992653811, 'loss': 2.7292679982340853}",2.7292679982340853,8,4904,
,,8,4904,"{'F1': 0.27322246794403376, 'Acc': 0.4629905898554051, 'loss': 2.718680694781312}"
"{'F1': 0.26435174813004597, 'Acc': 0.4967860422405877, 'loss': 2.5284731284431787}",2.5284731284431787,9,5449,
,,9,5449,"{'F1': 0.27923923145822643, 'Acc': 0.4691301354142759, 'loss': 2.6643784579880743}"
"{'F1': 0.27755787802925924, 'Acc': 0.4885215794306703, 'loss': 2.434405081513999}",2.434405081513999,10,5994,
,,10,5994,"{'F1': 0.2857001748694511, 'Acc': 0.4719990819371127, 'loss': 2.6187335405874688}"
"{'F1': 0.29082613324175816, 'Acc': 0.5146923783287419, 'loss': 2.5895315710903546}",2.5895315710903546,11,6539,
,,11,6539,"{'F1': 0.2838636682895619, 'Acc': 0.47492540739040623, 'loss': 2.577078884347863}"
"{'F1': 0.2845138262593822, 'Acc': 0.5064279155188246, 'loss': 2.603084593228456}",2.603084593228456,12,7084,
,,12,7084,"{'F1': 0.2778630756514735, 'Acc': 0.47050722974523757, 'loss': 2.696565678578998}"
"{'F1': 0.2654411501039813, 'Acc': 0.46143250688705234, 'loss': 2.684711115947668}",2.684711115947668,13,7629,
,,13,7629,"{'F1': 0.2901275941185499, 'Acc': 0.4724581133807666, 'loss': 2.639147733001534}"
"{'F1': 0.27131428665844304, 'Acc': 0.4701561065197429, 'loss': 2.583451318568078}",2.583451318568078,14,8174,
,,14,8174,"{'F1': 0.27323388860328235, 'Acc': 0.46861372504016524, 'loss': 2.681447322215509}"
