val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.3206847585297169, 'Acc': 0.4765840220385675, 'loss': 2.920326985850714}",2.920326985850714,0,544,
,,0,544,"{'F1': 0.2729618079293312, 'Acc': 0.47699104888684873, 'loss': 2.908082579800842}"
"{'F1': 0.32507305022977706, 'Acc': 0.532139577594123, 'loss': 2.9465306945469067}",2.9465306945469067,1,1089,
,,1,1089,"{'F1': 0.2770241283375833, 'Acc': 0.4840486573330273, 'loss': 2.9013411467228463}"
"{'F1': 0.2374895947653618, 'Acc': 0.41597796143250687, 'loss': 3.4587413418120234}",3.4587413418120234,2,1634,
,,2,1634,"{'F1': 0.28578820920156545, 'Acc': 0.4867454670644939, 'loss': 2.747110043862544}"
"{'F1': 0.3682721886847927, 'Acc': 0.5284664830119375, 'loss': 2.4247978130976358}",2.4247978130976358,3,2179,
,,3,2179,"{'F1': 0.2793341316946803, 'Acc': 0.4830732155152628, 'loss': 2.880296792677783}"
"{'F1': 0.27745182281327896, 'Acc': 0.4770431588613407, 'loss': 3.66938064582106}",3.66938064582106,4,2724,
,,4,2724,"{'F1': 0.27133971880748936, 'Acc': 0.47825338535689693, 'loss': 2.942859615535911}"
"{'F1': 0.29789772316343505, 'Acc': 0.49403122130394855, 'loss': 2.458403521689816}",2.458403521689816,5,3269,
,,5,3269,"{'F1': 0.27924863883113193, 'Acc': 0.48554050952490246, 'loss': 2.8586246123007677}"
"{'F1': 0.283917968342584, 'Acc': 0.46510560146923785, 'loss': 2.69571408327075}",2.69571408327075,6,3814,
,,6,3814,"{'F1': 0.2801707729623692, 'Acc': 0.4871471195776911, 'loss': 2.7984471535463946}"
"{'F1': 0.3248010428811373, 'Acc': 0.5247933884297521, 'loss': 2.9343480027240254}",2.9343480027240254,7,4359,
,,7,4359,"{'F1': 0.2761028428031851, 'Acc': 0.4807780582969933, 'loss': 2.8382713080546176}"
"{'F1': 0.26736979471369604, 'Acc': 0.48806244260789716, 'loss': 2.7678368618522864}",2.7678368618522864,8,4904,
,,8,4904,"{'F1': 0.2817592362364465, 'Acc': 0.4879504246040854, 'loss': 2.855658243774274}"
"{'F1': 0.2963760507326019, 'Acc': 0.4256198347107438, 'loss': 3.3941366188768027}",3.3941366188768027,9,5449,
,,9,5449,"{'F1': 0.2809567002619841, 'Acc': 0.4884094560477393, 'loss': 2.714976709917051}"
"{'F1': 0.31798581154221034, 'Acc': 0.5477502295684114, 'loss': 2.0215922815428264}",2.0215922815428264,10,5994,
,,10,5994,"{'F1': 0.2793020153947724, 'Acc': 0.48731925636906126, 'loss': 2.82502566696307}"
"{'F1': 0.3581003835784563, 'Acc': 0.5399449035812672, 'loss': 2.7325761456420454}",2.7325761456420454,11,6539,
,,11,6539,"{'F1': 0.27622724556883543, 'Acc': 0.4862290566903833, 'loss': 2.8228444943734265}"
"{'F1': 0.31393860116617484, 'Acc': 0.539485766758494, 'loss': 2.9128172976383264}",2.9128172976383264,12,7084,
,,12,7084,"{'F1': 0.2807289280736861, 'Acc': 0.49345880192793207, 'loss': 2.7093258240901004}"
"{'F1': 0.31924294088255134, 'Acc': 0.55188246097337, 'loss': 2.703435558123865}",2.703435558123865,13,7629,
,,13,7629,"{'F1': 0.27577541539114586, 'Acc': 0.4829584576543493, 'loss': 2.8929471009368197}"
"{'F1': 0.31403819915335257, 'Acc': 0.49908172635445364, 'loss': 2.8054652715074844}",2.8054652715074844,14,8174,
,,14,8174,"{'F1': 0.2764013095590484, 'Acc': 0.4850814780812486, 'loss': 2.9597155529424684}"
"{'F1': 0.2777957880628048, 'Acc': 0.49586776859504134, 'loss': 2.4099643499172037}",2.4099643499172037,15,8719,
,,15,8719,"{'F1': 0.277134755966254, 'Acc': 0.4857700252467294, 'loss': 2.9079894899228296}"
"{'F1': 0.34904789935632924, 'Acc': 0.5110192837465565, 'loss': 3.2930580999540244}",3.2930580999540244,16,9264,
,,16,9264,"{'F1': 0.27778586677143724, 'Acc': 0.4864011934817535, 'loss': 2.8650265504460815}"
"{'F1': 0.29863656411488787, 'Acc': 0.5560146923783288, 'loss': 2.769226202066394}",2.769226202066394,17,9809,
,,17,9809,"{'F1': 0.2825437684805153, 'Acc': 0.4870323617167776, 'loss': 2.924503623892408}"
"{'F1': 0.2984246043532792, 'Acc': 0.48622589531680444, 'loss': 2.525151495916256}",2.525151495916256,18,10354,
,,18,10354,"{'F1': 0.2800785248479153, 'Acc': 0.4908767500573789, 'loss': 2.813233205922153}"
"{'F1': 0.29507470168901107, 'Acc': 0.43709825528007346, 'loss': 3.0710866051469594}",3.0710866051469594,19,10899,
,,19,10899,"{'F1': 0.275896954625733, 'Acc': 0.4908767500573789, 'loss': 2.89227142552717}"
"{'F1': 0.32599938689718105, 'Acc': 0.5128558310376492, 'loss': 2.6010861310406006}",2.6010861310406006,20,11444,
,,20,11444,"{'F1': 0.2778747777265903, 'Acc': 0.4870323617167776, 'loss': 2.8962179509871597}"
