val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.27157316335851245, 'Acc': 0.43112947658402206, 'loss': 3.003370015517525}",3.003370015517525,0,544,
,,0,544,"{'F1': 0.27630849513075745, 'Acc': 0.4317190727564838, 'loss': 2.917766054835888}"
"{'F1': 0.30139245493112043, 'Acc': 0.45684113865932047, 'loss': 2.783591738645581}",2.783591738645581,1,1089,
,,1,1089,"{'F1': 0.27157018098632146, 'Acc': 0.43355519853109936, 'loss': 2.924067234555516}"
"{'F1': 0.30199677803957325, 'Acc': 0.5211202938475665, 'loss': 2.0191784197311895}",2.0191784197311895,2,1634,
,,2,1634,"{'F1': 0.2755531805131803, 'Acc': 0.44319485884783105, 'loss': 2.820518009815741}"
"{'F1': 0.2426048798584098, 'Acc': 0.4325068870523416, 'loss': 3.2073230605194536}",3.2073230605194536,3,2179,
,,3,2179,"{'F1': 0.2768770306396809, 'Acc': 0.4404980491163645, 'loss': 2.7831129140810136}"
"{'F1': 0.2846330476077553, 'Acc': 0.4559228650137741, 'loss': 2.6091421082399893}",2.6091421082399893,4,2724,
,,4,2724,"{'F1': 0.2690765715372249, 'Acc': 0.4312026623823732, 'loss': 2.813511325022496}"
"{'F1': 0.2890432796490358, 'Acc': 0.4967860422405877, 'loss': 2.3506533365318742}",2.3506533365318742,5,3269,
,,5,3269,"{'F1': 0.281117699808889, 'Acc': 0.4347027771402341, 'loss': 2.748070436442664}"
"{'F1': 0.2566217413106747, 'Acc': 0.47474747474747475, 'loss': 2.600412825743357}",2.600412825743357,6,3814,
,,6,3814,"{'F1': 0.2724387117720811, 'Acc': 0.4282763369290796, 'loss': 2.856571393056747}"
"{'F1': 0.31814861662808924, 'Acc': 0.47842056932966026, 'loss': 2.2302874568579854}",2.2302874568579854,7,4359,
,,7,4359,"{'F1': 0.28466643028881755, 'Acc': 0.44267844847372045, 'loss': 2.7570793996163463}"
"{'F1': 0.26956233759083814, 'Acc': 0.4738292011019284, 'loss': 2.4784771411315254}",2.4784771411315254,8,4904,
,,8,4904,"{'F1': 0.2740553953521766, 'Acc': 0.4364241450539362, 'loss': 2.7527353192688127}"
"{'F1': 0.28108238134409136, 'Acc': 0.46464646464646464, 'loss': 2.5971398730964763}",2.5971398730964763,9,5449,
,,9,5449,"{'F1': 0.27093485840871706, 'Acc': 0.4325797567133349, 'loss': 2.85926888470256}"
"{'F1': 0.27252793818154925, 'Acc': 0.4426078971533517, 'loss': 2.3843904854594795}",2.3843904854594795,10,5994,
,,10,5994,"{'F1': 0.2783245954318067, 'Acc': 0.43407160890521, 'loss': 2.814296875306226}"
"{'F1': 0.2903271462428544, 'Acc': 0.44674012855831036, 'loss': 2.503426088803056}",2.503426088803056,11,6539,
,,11,6539,"{'F1': 0.28088112702635815, 'Acc': 0.44107183842093184, 'loss': 2.7909546445269102}"
"{'F1': 0.280371174468261, 'Acc': 0.5064279155188246, 'loss': 2.4010485687117646}",2.4010485687117646,12,7084,
,,12,7084,"{'F1': 0.27814661839709764, 'Acc': 0.43688317649759006, 'loss': 2.7642963155693963}"
