val_perf,val_loss,epoch,step,trn_perf
"{'Micro_F1': 0.35294117647058826, 'Macro_F1': 0.34539057874502055, 'Micro_Acc': 0.35294117647058826, 'Macro_Acc': 0.3706995740481014, 'loss': 7.914866635936535}",7.914866635936535,0,76,
,,0,76,"{'Micro_F1': 0.30269607843137253, 'Macro_F1': 0.30155537855260717, 'Micro_Acc': 0.30269607843137253, 'Macro_Acc': 0.3020872868102043, 'loss': 12.841640393564072}"
"{'Micro_F1': 0.3161764705882353, 'Macro_F1': 0.3130689572075825, 'Micro_Acc': 0.3161764705882353, 'Macro_Acc': 0.3182836281232144, 'loss': 12.046731079280447}",12.046731079280447,1,153,
,,1,153,"{'Micro_F1': 0.3014705882352941, 'Macro_F1': 0.30105619584549725, 'Micro_Acc': 0.3014705882352941, 'Macro_Acc': 0.30063063083768005, 'loss': 10.709093189976494}"
"{'Micro_F1': 0.35294117647058826, 'Macro_F1': 0.3556962926213324, 'Micro_Acc': 0.35294117647058826, 'Macro_Acc': 0.357581262012363, 'loss': 7.962900650990731}",7.962900650990731,2,230,
,,2,230,"{'Micro_F1': 0.30923202614379086, 'Macro_F1': 0.3091478190400242, 'Micro_Acc': 0.30923202614379086, 'Macro_Acc': 0.3083784610730985, 'loss': 9.270137263036641}"
"{'Micro_F1': 0.3014705882352941, 'Macro_F1': 0.2567054768679266, 'Micro_Acc': 0.3014705882352941, 'Macro_Acc': 0.2882153849150693, 'loss': 11.52867965056231}",11.52867965056231,3,307,
,,3,307,"{'Micro_F1': 0.31209150326797386, 'Macro_F1': 0.31194558936989697, 'Micro_Acc': 0.31209150326797386, 'Macro_Acc': 0.3114509786815916, 'loss': 8.857820276492252}"
"{'Micro_F1': 0.3492647058823529, 'Macro_F1': 0.31972021142801543, 'Micro_Acc': 0.3492647058823529, 'Macro_Acc': 0.3511583813827853, 'loss': 7.63127021999118}",7.63127021999118,4,384,
,,4,384,"{'Micro_F1': 0.31004901960784315, 'Macro_F1': 0.3098888632978806, 'Micro_Acc': 0.31004901960784315, 'Macro_Acc': 0.30916197814652174, 'loss': 10.226865397485179}"
"{'Micro_F1': 0.35294117647058826, 'Macro_F1': 0.3228848208702006, 'Micro_Acc': 0.35294117647058826, 'Macro_Acc': 0.3369568463975897, 'loss': 8.582470873663683}",8.582470873663683,5,461,
,,5,461,"{'Micro_F1': 0.31209150326797386, 'Macro_F1': 0.31128789928846123, 'Micro_Acc': 0.31209150326797386, 'Macro_Acc': 0.31159303750233996, 'loss': 9.822962831015428}"
"{'Micro_F1': 0.3272058823529412, 'Macro_F1': 0.32252748058243, 'Micro_Acc': 0.3272058823529412, 'Macro_Acc': 0.33282069762609734, 'loss': 7.098185639763382}",7.098185639763382,6,538,
