val_perf,val_f1,epoch,step,trn_perf
"{'Micro_F1': 0.3238434163701068, 'Macro_F1': 0.2908541706922234, 'Micro_Acc': 0.3238434163701068, 'Macro_Acc': 0.3225791884541885, 'loss': 11.836286593938574}",0.2908541706922234,0,79,
,,0,79,"{'Micro_F1': 0.3013048635824436, 'Macro_F1': 0.3000511566252718, 'Micro_Acc': 0.3013048635824436, 'Macro_Acc': 0.3018520506682102, 'loss': 13.602903269015059}"
"{'Micro_F1': 0.33451957295373663, 'Macro_F1': 0.2974849541288688, 'Micro_Acc': 0.33451957295373663, 'Macro_Acc': 0.31037994575494576, 'loss': 10.756868007511237}",0.2974849541288688,1,159,
,,1,159,"{'Micro_F1': 0.30644523527085804, 'Macro_F1': 0.30724528090391834, 'Micro_Acc': 0.30644523527085804, 'Macro_Acc': 0.30700399917734866, 'loss': 9.530243736512816}"
"{'Micro_F1': 0.31316725978647686, 'Macro_F1': 0.2635019068054473, 'Micro_Acc': 0.31316725978647686, 'Macro_Acc': 0.3051279505029505, 'loss': 13.31399126302299}",0.2635019068054473,2,239,
,,2,239,"{'Micro_F1': 0.28944246737841045, 'Macro_F1': 0.2885053352500173, 'Micro_Acc': 0.28944246737841045, 'Macro_Acc': 0.2900616644549355, 'loss': 10.21147576840178}"
"{'Micro_F1': 0.35231316725978645, 'Macro_F1': 0.2973511084277948, 'Micro_Acc': 0.35231316725978645, 'Macro_Acc': 0.32436235886235887, 'loss': 11.271089053441763}",0.2973511084277948,3,319,
,,3,319,"{'Micro_F1': 0.3139580862000791, 'Macro_F1': 0.31407602010520486, 'Micro_Acc': 0.3139580862000791, 'Macro_Acc': 0.31467608709617, 'loss': 10.638545486000197}"
"{'Micro_F1': 0.28113879003558717, 'Macro_F1': 0.24355617172645036, 'Micro_Acc': 0.28113879003558717, 'Macro_Acc': 0.28767774617774616, 'loss': 11.370083561750501}",0.24355617172645036,4,399,
,,4,399,"{'Micro_F1': 0.30644523527085804, 'Macro_F1': 0.3059755894754118, 'Micro_Acc': 0.30644523527085804, 'Macro_Acc': 0.30702800952916526, 'loss': 10.210920575229116}"
