val_perf,val_f1,epoch,step,trn_perf,test_perf
"{'Micro_F1': 0.5611015490533563, 'Macro_F1': 0.3171028118151331, 'Micro_Acc': 0.5611015490533563, 'Macro_Acc': 0.33364737399894573, 'loss': 1.7551536787639965}",0.3171028118151331,0,490,,
,,0,490,"{'Micro_F1': 0.48861970035065355, 'Macro_F1': 0.28975098333974125, 'Micro_Acc': 0.4886197003506535, 'Macro_Acc': 0.28494652995762904, 'loss': 3.225892821421691}",
"{'Micro_F1': 0.6821572002294893, 'Macro_F1': 0.39822212787688316, 'Micro_Acc': 0.6821572002294893, 'Macro_Acc': 0.42724327483673274, 'loss': 0.9125417443838987}",0.39822212787688316,1,981,,
,,1,981,"{'Micro_F1': 0.6279885240675805, 'Macro_F1': 0.3872635547832385, 'Micro_Acc': 0.6279885240675805, 'Macro_Acc': 0.37893200180156056, 'loss': 1.1490017059742796}",
"{'Micro_F1': 0.6546184738955824, 'Macro_F1': 0.45107501372888636, 'Micro_Acc': 0.6546184738955824, 'Macro_Acc': 0.46442540813048183, 'loss': 0.8816784436052496}",0.45107501372888636,2,1472,,
,,2,1472,"{'Micro_F1': 0.6884921899904367, 'Macro_F1': 0.44411892407464826, 'Micro_Acc': 0.6884921899904367, 'Macro_Acc': 0.4333069696343199, 'loss': 0.8945086748925343}",
"{'Micro_F1': 0.7205966724039014, 'Macro_F1': 0.4224857502039393, 'Micro_Acc': 0.7205966724039014, 'Macro_Acc': 0.43323330023225004, 'loss': 0.7821246179667386}",0.4224857502039393,3,1963,,
,,3,1963,"{'Micro_F1': 0.699840612049729, 'Macro_F1': 0.44589718016403523, 'Micro_Acc': 0.699840612049729, 'Macro_Acc': 0.4366845304903978, 'loss': 0.8597462392144679}",
"{'Micro_F1': 0.7010900745840505, 'Macro_F1': 0.4657469333155363, 'Micro_Acc': 0.7010900745840505, 'Macro_Acc': 0.4556353345813742, 'loss': 0.8015383411537517}",0.4657469333155363,4,2454,,
,,4,2454,"{'Micro_F1': 0.7184571246413771, 'Macro_F1': 0.4700310089637537, 'Micro_Acc': 0.7184571246413771, 'Macro_Acc': 0.4609121600852978, 'loss': 0.776994079594214}",
"{'Micro_F1': 0.740103270223752, 'Macro_F1': 0.4942431827040744, 'Micro_Acc': 0.7401032702237521, 'Macro_Acc': 0.47938193142712715, 'loss': 0.7326909309083766}",0.4942431827040744,5,2945,,
,,5,2945,"{'Micro_F1': 0.7406439273190947, 'Macro_F1': 0.5102836450302596, 'Micro_Acc': 0.7406439273190947, 'Macro_Acc': 0.49624648962399875, 'loss': 0.7133228002825482}",
"{'Micro_F1': 0.7079747561675273, 'Macro_F1': 0.48726137377334017, 'Micro_Acc': 0.7079747561675273, 'Macro_Acc': 0.4840070357148149, 'loss': 0.7322868195447054}",0.48726137377334017,6,3436,,
,,6,3436,"{'Micro_F1': 0.746509403889066, 'Macro_F1': 0.5138641208994482, 'Micro_Acc': 0.746509403889066, 'Macro_Acc': 0.5012100995147138, 'loss': 0.6786542065638874}",
"{'Micro_F1': 0.7372346528973035, 'Macro_F1': 0.513591964690083, 'Micro_Acc': 0.7372346528973035, 'Macro_Acc': 0.519985717057127, 'loss': 0.6963455872102218}",0.513591964690083,7,3927,,
,,7,3927,"{'Micro_F1': 0.764424609499522, 'Macro_F1': 0.5625821952897845, 'Micro_Acc': 0.7644246094995218, 'Macro_Acc': 0.5445347087179188, 'loss': 0.6348943544927294}",
"{'Micro_F1': 0.74469305794607, 'Macro_F1': 0.5348850892045404, 'Micro_Acc': 0.74469305794607, 'Macro_Acc': 0.5359427870169056, 'loss': 0.7524761963974346}",0.5348850892045404,8,4418,,
,,8,4418,"{'Micro_F1': 0.7727127829136118, 'Macro_F1': 0.5645342763173633, 'Micro_Acc': 0.7727127829136118, 'Macro_Acc': 0.5500620998137088, 'loss': 0.6257350703060263}",
"{'Micro_F1': 0.7521514629948364, 'Macro_F1': 0.5189900033554369, 'Micro_Acc': 0.7521514629948365, 'Macro_Acc': 0.5140291438410881, 'loss': 0.6753028612245213}",0.5189900033554369,9,4909,,
,,9,4909,"{'Micro_F1': 0.7623206885559451, 'Macro_F1': 0.5513999273971604, 'Micro_Acc': 0.7623206885559451, 'Macro_Acc': 0.5376306980548151, 'loss': 0.6617328317005134}",
"{'Micro_F1': 0.7515777395295468, 'Macro_F1': 0.518745615336813, 'Micro_Acc': 0.7515777395295468, 'Macro_Acc': 0.5019902560566157, 'loss': 0.6547279764305461}",0.518745615336813,10,5400,,
,,10,5400,"{'Micro_F1': 0.7862288810965891, 'Macro_F1': 0.5863021485804893, 'Micro_Acc': 0.7862288810965891, 'Macro_Acc': 0.5742650223808259, 'loss': 0.5804474310998762}",
"{'Micro_F1': 0.7538726333907055, 'Macro_F1': 0.5428437640462973, 'Micro_Acc': 0.7538726333907056, 'Macro_Acc': 0.5424515768311264, 'loss': 0.6913211448626084}",0.5428437640462973,11,5891,,
,,11,5891,"{'Micro_F1': 0.7904367229837425, 'Macro_F1': 0.5985747912976507, 'Micro_Acc': 0.7904367229837425, 'Macro_Acc': 0.584412132569593, 'loss': 0.5657742352143325}",
"{'Micro_F1': 0.759609868043603, 'Macro_F1': 0.5351319864133248, 'Micro_Acc': 0.759609868043603, 'Macro_Acc': 0.5420294804689968, 'loss': 0.6474948387254368}",0.5351319864133248,12,6382,,
,,12,6382,"{'Micro_F1': 0.8004462862607586, 'Macro_F1': 0.6219947053901971, 'Micro_Acc': 0.8004462862607586, 'Macro_Acc': 0.6028168732368908, 'loss': 0.5366110814746674}",
"{'Micro_F1': 0.7492828456683879, 'Macro_F1': 0.5320859320768562, 'Micro_Acc': 0.7492828456683879, 'Macro_Acc': 0.5372558805849831, 'loss': 0.6664197872985493}",0.5320859320768562,13,6873,,
,,13,6873,"{'Micro_F1': 0.8073318457124642, 'Macro_F1': 0.634959807331624, 'Micro_Acc': 0.8073318457124642, 'Macro_Acc': 0.6170391811569762, 'loss': 0.5256471486720437}",
"{'Micro_F1': 0.7532989099254159, 'Macro_F1': 0.547498738779511, 'Micro_Acc': 0.7532989099254159, 'Macro_Acc': 0.539178532057184, 'loss': 0.7651758632876656}",0.547498738779511,14,7364,,
,,14,7364,"{'Micro_F1': 0.8121772394007013, 'Macro_F1': 0.6625042297617163, 'Micro_Acc': 0.8121772394007013, 'Macro_Acc': 0.6392860708513981, 'loss': 0.5063069084025692}",
"{'Micro_F1': 0.7659208261617899, 'Macro_F1': 0.5650929950752854, 'Micro_Acc': 0.76592082616179, 'Macro_Acc': 0.5724963527450276, 'loss': 0.6500123042951931}",0.5650929950752854,15,7855,,
,,15,7855,"{'Micro_F1': 0.8214854956965253, 'Macro_F1': 0.6432320780081316, 'Micro_Acc': 0.8214854956965253, 'Macro_Acc': 0.6320892879101517, 'loss': 0.4823636404729909}",
"{'Micro_F1': 0.7751004016064257, 'Macro_F1': 0.5555032625795941, 'Micro_Acc': 0.7751004016064257, 'Macro_Acc': 0.5334418566264466, 'loss': 0.667061987248334}",0.5555032625795941,16,8346,,
,,16,8346,"{'Micro_F1': 0.8329614281160345, 'Macro_F1': 0.6702133611368741, 'Micro_Acc': 0.8329614281160345, 'Macro_Acc': 0.6561927005892787, 'loss': 0.4610930042049246}",
"{'Micro_F1': 0.699942627653471, 'Macro_F1': 0.5414147356623825, 'Micro_Acc': 0.699942627653471, 'Macro_Acc': 0.5715750329127645, 'loss': 0.8118711292743683}",0.5414147356623825,17,8837,,
,,17,8837,"{'Micro_F1': 0.8307299968122411, 'Macro_F1': 0.6750851632392745, 'Micro_Acc': 0.830729996812241, 'Macro_Acc': 0.661065204414821, 'loss': 0.4608636296936548}",
"{'Micro_F1': 0.7561675272518646, 'Macro_F1': 0.5573225006068665, 'Micro_Acc': 0.7561675272518646, 'Macro_Acc': 0.5458698741383342, 'loss': 0.6624126938256351}",0.5573225006068665,18,9328,,
,,18,9328,"{'Micro_F1': 0.8406120497290405, 'Macro_F1': 0.6802413165370067, 'Micro_Acc': 0.8406120497290405, 'Macro_Acc': 0.6703115608529164, 'loss': 0.4309207407071003}",
"{'Micro_F1': 0.7647733792312106, 'Macro_F1': 0.5652462675442492, 'Micro_Acc': 0.7647733792312106, 'Macro_Acc': 0.5639713724641837, 'loss': 0.67932581522248}",0.5652462675442492,19,9819,,
,,19,9819,"{'Micro_F1': 0.8490277335033471, 'Macro_F1': 0.7167808056288084, 'Micro_Acc': 0.8490277335033471, 'Macro_Acc': 0.6977561364615555, 'loss': 0.41452311996044305}",
"{'Micro_F1': 0.7716580608146874, 'Macro_F1': 0.5659316863305334, 'Micro_Acc': 0.7716580608146874, 'Macro_Acc': 0.5717124373633713, 'loss': 0.6412656345150688}",0.5659316863305334,20,10310,,
,,20,10310,"{'Micro_F1': 0.8517054510678993, 'Macro_F1': 0.7319487117685475, 'Micro_Acc': 0.8517054510678993, 'Macro_Acc': 0.7127157880644697, 'loss': 0.4059529384776434}",
"{'Micro_F1': 0.7699368904188181, 'Macro_F1': 0.5660663132618925, 'Micro_Acc': 0.7699368904188181, 'Macro_Acc': 0.5724958616395248, 'loss': 0.6515647693113847}",0.5660663132618925,21,10801,,
,,21,10801,"{'Micro_F1': 0.8605036659228563, 'Macro_F1': 0.7219323391933326, 'Micro_Acc': 0.8605036659228562, 'Macro_Acc': 0.7100370442493363, 'loss': 0.3837357421999308}",
"{'Micro_F1': 0.7590361445783133, 'Macro_F1': 0.5535291319349631, 'Micro_Acc': 0.7590361445783133, 'Macro_Acc': 0.5471446764059289, 'loss': 0.7762272720987147}",0.5535291319349631,22,11292,,
,,22,11292,"{'Micro_F1': 0.8663053873127192, 'Macro_F1': 0.7525691615847251, 'Micro_Acc': 0.8663053873127191, 'Macro_Acc': 0.7345999275518847, 'loss': 0.36372988569396575}",
"{'Micro_F1': 0.7481353987378083, 'Macro_F1': 0.5329671271387351, 'Micro_Acc': 0.7481353987378083, 'Macro_Acc': 0.5323091954418728, 'loss': 1.1079722282561388}",0.5329671271387351,23,11783,,
,,23,11783,"{'Micro_F1': 0.8682180427159707, 'Macro_F1': 0.7609288056228516, 'Micro_Acc': 0.8682180427159707, 'Macro_Acc': 0.7470148514557967, 'loss': 0.3598700368021996}",
