val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.36622835117116426, 'Acc': 0.6685032139577594, 'loss': 1.157066819028578}",1.157066819028578,0,544,
,,0,544,"{'F1': 0.2734118559263966, 'Acc': 0.5002868946522837, 'loss': 2.744430837499986}"
"{'F1': 0.3587552077061154, 'Acc': 0.7052341597796143, 'loss': 1.0000224052995876}",1.0000224052995876,1,1089,
,,1,1089,"{'F1': 0.3699385035148014, 'Acc': 0.6367339912784026, 'loss': 1.09928568579735}"
"{'F1': 0.43060740230302175, 'Acc': 0.7451790633608816, 'loss': 0.8086882220662158}",0.8086882220662158,2,1634,
,,2,1634,"{'F1': 0.40851243188190817, 'Acc': 0.681891209547854, 'loss': 0.9012173177452263}"
"{'F1': 0.43890979901168975, 'Acc': 0.7419651056014692, 'loss': 0.7174087192701257}",0.7174087192701257,3,2179,
,,3,2179,"{'F1': 0.4368242547470166, 'Acc': 0.7009410144594905, 'loss': 0.8218905441257932}"
"{'F1': 0.4803087054646628, 'Acc': 0.751147842056933, 'loss': 0.7401375839675682}",0.7401375839675682,4,2724,
,,4,2724,"{'F1': 0.4738787460893935, 'Acc': 0.729114069313748, 'loss': 0.7392240612331881}"
"{'F1': 0.47497536220889625, 'Acc': 0.7240587695133149, 'loss': 0.6937537878832739}",0.6937537878832739,5,3269,
,,5,3269,"{'F1': 0.48903842089980676, 'Acc': 0.7409915079182924, 'loss': 0.6977296682125932}"
"{'F1': 0.48948376123183984, 'Acc': 0.7502295684113865, 'loss': 0.7588444922483809}",0.7588444922483809,6,3814,
,,6,3814,"{'F1': 0.5052239543341195, 'Acc': 0.7469015377553362, 'loss': 0.6747862190828411}"
"{'F1': 0.5417099663445352, 'Acc': 0.7819100091827365, 'loss': 0.608689001073008}",0.608689001073008,7,4359,
,,7,4359,"{'F1': 0.5353536472547661, 'Acc': 0.7637135643791599, 'loss': 0.6239643416820316}"
"{'F1': 0.555357113634563, 'Acc': 0.7910927456382002, 'loss': 0.5676076753415923}",0.5676076753415923,8,4904,
,,8,4904,"{'F1': 0.5529011548777194, 'Acc': 0.7747876979573101, 'loss': 0.5986603389639373}"
"{'F1': 0.5692352026739439, 'Acc': 0.7722681359044995, 'loss': 0.5905381579330002}",0.5905381579330002,9,5449,
,,9,5449,"{'F1': 0.5924182087429266, 'Acc': 0.7925177874684416, 'loss': 0.575285308213409}"
"{'F1': 0.538571034545639, 'Acc': 0.7534435261707989, 'loss': 0.6276685828747957}",0.6276685828747957,10,5994,
,,10,5994,"{'F1': 0.5938313528493155, 'Acc': 0.7914275877897636, 'loss': 0.5596579518066633}"
"{'F1': 0.6023107561084431, 'Acc': 0.797979797979798, 'loss': 0.5489845575521821}",0.5489845575521821,11,6539,
,,11,6539,"{'F1': 0.6046687181786695, 'Acc': 0.801354142758779, 'loss': 0.5365707277431401}"
"{'F1': 0.5803255433593044, 'Acc': 0.7851239669421488, 'loss': 0.558242408045824}",0.558242408045824,12,7084,
,,12,7084,"{'F1': 0.6218169407150522, 'Acc': 0.8064608675694285, 'loss': 0.5199215852886165}"
"{'F1': 0.586830612419173, 'Acc': 0.7943067033976124, 'loss': 0.5358568608247931}",0.5358568608247931,13,7629,
,,13,7629,"{'F1': 0.6278360434546496, 'Acc': 0.8108216662841404, 'loss': 0.5049351622752093}"
"{'F1': 0.5795005275342324, 'Acc': 0.7897153351698806, 'loss': 0.5656153952729874}",0.5656153952729874,14,8174,
,,14,8174,"{'F1': 0.6388267254211522, 'Acc': 0.8232728941932522, 'loss': 0.48325885523349865}"
"{'F1': 0.5829512422377758, 'Acc': 0.7988980716253443, 'loss': 0.5929146334731384}",0.5929146334731384,15,8719,
,,15,8719,"{'F1': 0.647474540356386, 'Acc': 0.8267730089511132, 'loss': 0.47000195903515596}"
"{'F1': 0.5919395086874948, 'Acc': 0.7814508723599632, 'loss': 0.5976187875629335}",0.5976187875629335,16,9264,
,,16,9264,"{'F1': 0.6648969535124616, 'Acc': 0.8347486802845995, 'loss': 0.45054003558027633}"
"{'F1': 0.6041285722322017, 'Acc': 0.7796143250688705, 'loss': 0.612921959248142}",0.612921959248142,17,9809,
,,17,9809,"{'F1': 0.6638452925996662, 'Acc': 0.8341175120495754, 'loss': 0.44147554523901106}"
"{'F1': 0.5809769801439877, 'Acc': 0.8057851239669421, 'loss': 0.5470690051215175}",0.5470690051215175,18,10354,
,,18,10354,"{'F1': 0.684800922143876, 'Acc': 0.8480032132201055, 'loss': 0.4164298966663693}"
"{'F1': 0.596688225547511, 'Acc': 0.8021120293847567, 'loss': 0.6313998751018358}",0.6313998751018358,19,10899,
,,19,10899,"{'F1': 0.7025112554922344, 'Acc': 0.8510442965343126, 'loss': 0.401129915941199}"
"{'F1': 0.6131850286878546, 'Acc': 0.8057851239669421, 'loss': 0.5698438997016005}",0.5698438997016005,20,11444,
,,20,11444,"{'F1': 0.7110280630795928, 'Acc': 0.8552329584576543, 'loss': 0.3898963044679493}"
"{'F1': 0.6007748167851951, 'Acc': 0.7874196510560147, 'loss': 0.5983079883499421}",0.5983079883499421,21,11989,
,,21,11989,"{'F1': 0.7183385924698203, 'Acc': 0.8621184301124627, 'loss': 0.37370886697408257}"
"{'F1': 0.618053313155032, 'Acc': 0.8011937557392103, 'loss': 0.6017647437427355}",0.6017647437427355,22,12534,
,,22,12534,"{'F1': 0.7415553910510104, 'Acc': 0.8671103970621987, 'loss': 0.3608717930973123}"
"{'F1': 0.6165668158587281, 'Acc': 0.820018365472911, 'loss': 0.572551541786263}",0.572551541786263,23,13079,
,,23,13079,"{'F1': 0.7672747809704723, 'Acc': 0.871643332568281, 'loss': 0.3483585917074746}"
