val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.15183382604785278, 'Acc': 0.32277318640955005, 'loss': 5.062970942345219}",5.062970942345219,0,544,
,,0,544,"{'F1': 0.2020089521366622, 'Acc': 0.3317075969703925, 'loss': 5.8341921784462185}"
"{'F1': 0.20031254863133907, 'Acc': 0.30899908172635443, 'loss': 5.818030951679617}",5.818030951679617,1,1089,
,,1,1089,"{'F1': 0.2021556167261446, 'Acc': 0.3366995639201285, 'loss': 5.713360712943821}"
"{'F1': 0.12413054387860908, 'Acc': 0.2943067033976125, 'loss': 5.756218791007996}",5.756218791007996,2,1634,
,,2,1634,"{'F1': 0.2024082325173223, 'Acc': 0.33910947899931143, 'loss': 5.787967502086534}"
"{'F1': 0.18896088323955137, 'Acc': 0.34710743801652894, 'loss': 6.301975423011227}",6.301975423011227,3,2179,
,,3,2179,"{'F1': 0.20037618452590072, 'Acc': 0.335724122102364, 'loss': 5.7806966847236}"
"{'F1': 0.1815084824389891, 'Acc': 0.36179981634527086, 'loss': 5.657061027443928}",5.657061027443928,4,2724,
,,4,2724,"{'F1': 0.19302856873651816, 'Acc': 0.33262565985770026, 'loss': 5.761839428079238}"
"{'F1': 0.18827830198180506, 'Acc': 0.34297520661157027, 'loss': 6.370111949201943}",6.370111949201943,5,3269,
,,5,3269,"{'F1': 0.19702194528050765, 'Acc': 0.33182235483130595, 'loss': 5.855982122508758}"
"{'F1': 0.20437232539383282, 'Acc': 0.30486685032139577, 'loss': 6.307046644929526}",6.307046644929526,6,3814,
,,6,3814,"{'F1': 0.20270109616704315, 'Acc': 0.3358388799632775, 'loss': 5.454670095443726}"
"{'F1': 0.13182453495928761, 'Acc': 0.3659320477502296, 'loss': 7.324589221373849}",7.324589221373849,7,4359,
,,7,4359,"{'F1': 0.19312828129228254, 'Acc': 0.33388799632774846, 'loss': 5.782759530828633}"
"{'F1': 0.19475660446491622, 'Acc': 0.3590449954086318, 'loss': 4.425198997276417}",4.425198997276417,8,4904,
,,8,4904,"{'F1': 0.19841905686538847, 'Acc': 0.3283796190039018, 'loss': 5.644564571293122}"
"{'F1': 0.20339734551525046, 'Acc': 0.3140495867768595, 'loss': 5.898743584536124}",5.898743584536124,9,5449,
,,9,5449,"{'F1': 0.20781294727970515, 'Acc': 0.3388225843470278, 'loss': 5.790702909942067}"
"{'F1': 0.20073826219782753, 'Acc': 0.3076216712580349, 'loss': 6.291331128797669}",6.291331128797669,10,5994,
,,10,5994,"{'F1': 0.19929080112199193, 'Acc': 0.3325109019967868, 'loss': 5.560573543758568}"
"{'F1': 0.12543761979261908, 'Acc': 0.33241505968778695, 'loss': 5.268992164860601}",5.268992164860601,11,6539,
,,11,6539,"{'F1': 0.20450463512115938, 'Acc': 0.338765205416571, 'loss': 5.622246654755479}"
"{'F1': 0.22946880400321099, 'Acc': 0.3347107438016529, 'loss': 5.061268749444381}",5.061268749444381,12,7084,
,,12,7084,"{'F1': 0.1963698542360146, 'Acc': 0.3295271976130365, 'loss': 5.472410218650048}"
"{'F1': 0.1606929370612221, 'Acc': 0.3682277318640955, 'loss': 6.316896490428759}",6.316896490428759,13,7629,
,,13,7629,"{'F1': 0.19720656355532795, 'Acc': 0.3288960293780124, 'loss': 5.813949888999309}"
"{'F1': 0.203341309088716, 'Acc': 0.3820018365472911, 'loss': 4.726335200710573}",4.726335200710573,14,8174,
,,14,8174,"{'F1': 0.20458185320889988, 'Acc': 0.3416341519394078, 'loss': 5.648930394321407}"
"{'F1': 0.16231390500709694, 'Acc': 0.283287419651056, 'loss': 7.342376125031623}",7.342376125031623,15,8719,
,,15,8719,"{'F1': 0.20514449317954045, 'Acc': 0.3403144365389029, 'loss': 5.461285721927608}"
"{'F1': 0.19782803450774622, 'Acc': 0.38934802571166205, 'loss': 5.204306025435959}",5.204306025435959,16,9264,
,,16,9264,"{'F1': 0.19941961202658431, 'Acc': 0.33784714252926323, 'loss': 5.885718393763271}"
"{'F1': 0.2177690301206522, 'Acc': 0.37970615243342515, 'loss': 4.649696218794671}",4.649696218794671,17,9809,
,,17,9809,"{'F1': 0.2018172324821405, 'Acc': 0.33727335322469587, 'loss': 5.679862945889115}"
"{'F1': 0.1782879792619633, 'Acc': 0.27502295684113864, 'loss': 4.854735338601513}",4.854735338601513,18,10354,
,,18,10354,"{'F1': 0.20390038344943137, 'Acc': 0.33939637365159514, 'loss': 5.709676936788297}"
