val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.18974562351572052, 'Acc': 0.39807162534435264, 'loss': 5.192268245462058}",5.192268245462058,0,544,
,,0,544,"{'F1': 0.22392832412729882, 'Acc': 0.378815698875373, 'loss': 5.141386935907766}"
"{'F1': 0.20393417486706128, 'Acc': 0.42424242424242425, 'loss': 4.9606101685676025}",4.9606101685676025,1,1089,
,,1,1089,"{'F1': 0.22814810825256931, 'Acc': 0.3820862979114069, 'loss': 4.990259591811294}"
"{'F1': 0.21762132670890466, 'Acc': 0.3957759412304867, 'loss': 5.3456746737162275}",5.3456746737162275,2,1634,
,,2,1634,"{'F1': 0.21804659804404541, 'Acc': 0.3746270369520312, 'loss': 5.294009036755343}"
"{'F1': 0.18419587656575417, 'Acc': 0.3686868686868687, 'loss': 4.8049383872877}",4.8049383872877,3,2179,
,,3,2179,"{'F1': 0.22027712851709552, 'Acc': 0.3796190039017673, 'loss': 5.184940482060844}"
"{'F1': 0.19824212523203794, 'Acc': 0.4049586776859504, 'loss': 5.797899474268374}",5.797899474268374,4,2724,
,,4,2724,"{'F1': 0.21937343204355542, 'Acc': 0.37858618315354603, 'loss': 5.111694722219345}"
"{'F1': 0.22174230893222782, 'Acc': 0.4494949494949495, 'loss': 4.47658026650332}",4.47658026650332,5,3269,
,,5,3269,"{'F1': 0.21948179201185863, 'Acc': 0.37732384668349783, 'loss': 5.0953250110696215}"
"{'F1': 0.1943082330920985, 'Acc': 0.37006427915518825, 'loss': 6.501487638639367}",6.501487638639367,6,3814,
,,6,3814,"{'F1': 0.22517992161297196, 'Acc': 0.38243057149414733, 'loss': 4.9550385186431605}"
"{'F1': 0.22110971286970466, 'Acc': 0.3246097337006428, 'loss': 4.968518105106077}",4.968518105106077,7,4359,
,,7,4359,"{'F1': 0.22266240650368907, 'Acc': 0.3828322240073445, 'loss': 5.228784046479322}"
"{'F1': 0.21636631521459676, 'Acc': 0.3953168044077135, 'loss': 6.592577616373698}",6.592577616373698,8,4904,
,,8,4904,"{'F1': 0.21754422012096133, 'Acc': 0.37520082625659856, 'loss': 5.098694842452303}"
"{'F1': 0.2500377696691295, 'Acc': 0.38659320477502296, 'loss': 5.438287928484488}",5.438287928484488,9,5449,
,,9,5449,"{'F1': 0.21818061557242957, 'Acc': 0.3750286894652284, 'loss': 5.267085358637188}"
"{'F1': 0.2308684884975986, 'Acc': 0.38659320477502296, 'loss': 5.3408068884973945}",5.3408068884973945,10,5994,
,,10,5994,"{'F1': 0.22349657490783273, 'Acc': 0.3820289189809502, 'loss': 5.167550176218016}"
"{'F1': 0.21104894298130245, 'Acc': 0.3549127640036731, 'loss': 5.325593001600625}",5.325593001600625,11,6539,
,,11,6539,"{'F1': 0.21897056665516518, 'Acc': 0.3762336470048198, 'loss': 5.250421665349138}"
"{'F1': 0.2017235524193115, 'Acc': 0.3778696051423324, 'loss': 4.910724601883819}",4.910724601883819,12,7084,
,,12,7084,"{'F1': 0.22430141753031346, 'Acc': 0.379676382832224, 'loss': 5.023007928778272}"
"{'F1': 0.2090080781495728, 'Acc': 0.35858585858585856, 'loss': 6.121383418207583}",6.121383418207583,13,7629,
,,13,7629,"{'F1': 0.21969813457184584, 'Acc': 0.37187284829010786, 'loss': 5.0171759557286535}"
"{'F1': 0.21873058737661974, 'Acc': 0.3549127640036731, 'loss': 6.271143232566723}",6.271143232566723,14,8174,
,,14,8174,"{'F1': 0.2218053630044942, 'Acc': 0.37973376176268075, 'loss': 5.391682360150399}"
"{'F1': 0.2310884349771794, 'Acc': 0.39944903581267216, 'loss': 4.2440182367960615}",4.2440182367960615,15,8719,
,,15,8719,"{'F1': 0.2244391399538297, 'Acc': 0.3790452145971999, 'loss': 5.138394870670564}"
"{'F1': 0.22600455986647874, 'Acc': 0.43434343434343436, 'loss': 4.5958269789571995}",4.5958269789571995,16,9264,
,,16,9264,"{'F1': 0.21596612432300888, 'Acc': 0.37451227909111773, 'loss': 5.3367875606641855}"
