val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.2558385221918016, 'Acc': 0.4830119375573921, 'loss': 2.595462250536767}",2.595462250536767,0,544,
,,0,544,"{'F1': 0.28411715947295757, 'Acc': 0.44399816387422536, 'loss': 2.724722265103541}"
"{'F1': 0.23404241702466214, 'Acc': 0.40633608815426997, 'loss': 3.220677039005618}",3.220677039005618,1,1089,
,,1,1089,"{'F1': 0.2873788903098413, 'Acc': 0.445604773927014, 'loss': 2.644576675520031}"
"{'F1': 0.22773431988128956, 'Acc': 0.38797061524334253, 'loss': 2.7823294867639956}",2.7823294867639956,2,1634,
,,2,1634,"{'F1': 0.27889149851848316, 'Acc': 0.44273582740417716, 'loss': 2.6802597839897926}"
"{'F1': 0.31669113768026647, 'Acc': 0.4866850321395776, 'loss': 2.3154163131679315}",2.3154163131679315,3,2179,
,,3,2179,"{'F1': 0.2848564706127007, 'Acc': 0.44411292173513883, 'loss': 2.6264492745793193}"
"{'F1': 0.2656924291720897, 'Acc': 0.4692378328741965, 'loss': 2.3857777844304624}",2.3857777844304624,4,2724,
,,4,2724,"{'F1': 0.2901206604357246, 'Acc': 0.44348175350011476, 'loss': 2.6697631685011975}"
"{'F1': 0.2857468983412381, 'Acc': 0.4701561065197429, 'loss': 2.408871431281601}",2.408871431281601,5,3269,
,,5,3269,"{'F1': 0.2810776834435269, 'Acc': 0.4438260270828552, 'loss': 2.6935178509545983}"
"{'F1': 0.245884333839002, 'Acc': 0.46464646464646464, 'loss': 2.3937258132989854}",2.3937258132989854,6,3814,
,,6,3814,"{'F1': 0.2811052538675328, 'Acc': 0.4373995868717007, 'loss': 2.678741331056717}"
"{'F1': 0.26616070516026424, 'Acc': 0.41919191919191917, 'loss': 3.205431900162628}",3.205431900162628,7,4359,
,,7,4359,"{'F1': 0.27685695623716744, 'Acc': 0.43493229286206103, 'loss': 2.6945315894730593}"
"{'F1': 0.29356428062522844, 'Acc': 0.4490358126721763, 'loss': 2.832418172255806}",2.832418172255806,8,4904,
,,8,4904,"{'F1': 0.28267636030705257, 'Acc': 0.43986688088134035, 'loss': 2.674283824382572}"
"{'F1': 0.2775729342529289, 'Acc': 0.5055096418732782, 'loss': 2.319334382596223}",2.319334382596223,9,5449,
,,9,5449,"{'F1': 0.30043781231990196, 'Acc': 0.4511131512508607, 'loss': 2.654450871747568}"
"{'F1': 0.23666621422188264, 'Acc': 0.4444444444444444, 'loss': 2.7348409718361455}",2.7348409718361455,10,5994,
,,10,5994,"{'F1': 0.2934161179001971, 'Acc': 0.4426210695432637, 'loss': 2.6784862330200476}"
"{'F1': 0.26136780561034456, 'Acc': 0.45454545454545453, 'loss': 2.343509796736897}",2.343509796736897,11,6539,
,,11,6539,"{'F1': 0.27857060607118606, 'Acc': 0.4404406701859077, 'loss': 2.645489945324189}"
"{'F1': 0.2974032453788108, 'Acc': 0.4765840220385675, 'loss': 2.2984681889630747}",2.2984681889630747,12,7084,
,,12,7084,"{'F1': 0.2882653832023892, 'Acc': 0.4386619233417489, 'loss': 2.6733287977516103}"
"{'F1': 0.2856695288582191, 'Acc': 0.4963269054178145, 'loss': 2.329151245131009}",2.329151245131009,13,7629,
,,13,7629,"{'F1': 0.28809925116649204, 'Acc': 0.4454326371356438, 'loss': 2.675080458942903}"
"{'F1': 0.2792858258897932, 'Acc': 0.46510560146923785, 'loss': 2.792970553688381}",2.792970553688381,14,8174,
,,14,8174,"{'F1': 0.28311550027392035, 'Acc': 0.4454900160661005, 'loss': 2.6962967424217714}"
"{'F1': 0.29341752155058803, 'Acc': 0.5082644628099173, 'loss': 2.298503844634346}",2.298503844634346,15,8719,
,,15,8719,"{'F1': 0.29923173137046544, 'Acc': 0.44692448932751894, 'loss': 2.6609434847438007}"
"{'F1': 0.3114886076985647, 'Acc': 0.5064279155188246, 'loss': 2.092640158922776}",2.092640158922776,16,9264,
,,16,9264,"{'F1': 0.28409183771398816, 'Acc': 0.44646545788386505, 'loss': 2.5994560141082204}"
"{'F1': 0.29834692411178454, 'Acc': 0.5018365472910927, 'loss': 2.3205858659053193}",2.3205858659053193,17,9809,
,,17,9809,"{'F1': 0.28285848451601153, 'Acc': 0.4491622676153316, 'loss': 2.6266355387661435}"
"{'F1': 0.2922165124045478, 'Acc': 0.4701561065197429, 'loss': 3.0024445488833}",3.0024445488833,18,10354,
,,18,10354,"{'F1': 0.2840283674271493, 'Acc': 0.43682579756713336, 'loss': 2.807634398915352}"
"{'F1': 0.2639305939753037, 'Acc': 0.44214876033057854, 'loss': 2.759404500325521}",2.759404500325521,19,10899,
,,19,10899,"{'F1': 0.2918289512181141, 'Acc': 0.4467523525361487, 'loss': 2.672995528387367}"
"{'F1': 0.30499225783877865, 'Acc': 0.48484848484848486, 'loss': 2.4038928712623706}",2.4038928712623706,20,11444,
,,20,11444,"{'F1': 0.28076947094334553, 'Acc': 0.44394078494376865, 'loss': 2.668757702669966}"
"{'F1': 0.24888997798120882, 'Acc': 0.5013774104683195, 'loss': 2.264489581619484}",2.264489581619484,21,11989,
,,21,11989,"{'F1': 0.29333247154742476, 'Acc': 0.44537525820518703, 'loss': 2.651691974521777}"
"{'F1': 0.2090868650447769, 'Acc': 0.371900826446281, 'loss': 3.045074725496596}",3.045074725496596,22,12534,
,,22,12534,"{'F1': 0.28076237101852836, 'Acc': 0.44239155382143674, 'loss': 2.722353194066144}"
"{'F1': 0.27010659984376806, 'Acc': 0.453168044077135, 'loss': 2.7095813893601703}",2.7095813893601703,23,13079,
,,23,13079,"{'F1': 0.2859687998592073, 'Acc': 0.44853109938030755, 'loss': 2.630869483291556}"
"{'F1': 0.3113750761444597, 'Acc': 0.4660238751147842, 'loss': 2.707583090533381}",2.707583090533381,24,13624,
,,24,13624,"{'F1': 0.2795525818041277, 'Acc': 0.4473835207711728, 'loss': 2.7277923993014412}"
"{'F1': 0.2664195185885745, 'Acc': 0.5114784205693297, 'loss': 2.408374141955721}",2.408374141955721,25,14169,
,,25,14169,"{'F1': 0.29556604133769937, 'Acc': 0.44692448932751894, 'loss': 2.6790411380452848}"
"{'F1': 0.29598782427468445, 'Acc': 0.47750229568411384, 'loss': 2.7505987260652627}",2.7505987260652627,26,14714,
