val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.1560120968416435, 'Acc': 0.32231404958677684, 'loss': 4.8358611542245615}",4.8358611542245615,0,544,
,,0,544,"{'F1': 0.1746632310137888, 'Acc': 0.3049690153775534, 'loss': 5.3779018384601}"
"{'F1': 0.1968968806519716, 'Acc': 0.38475665748393023, 'loss': 6.636697046998618}",6.636697046998618,1,1089,
,,1,1089,"{'F1': 0.17728166408794854, 'Acc': 0.317018590773468, 'loss': 5.309319530714543}"
"{'F1': 0.15645943656975356, 'Acc': 0.3402203856749311, 'loss': 4.5394992068193964}",4.5394992068193964,2,1634,
,,2,1634,"{'F1': 0.17986538612794012, 'Acc': 0.31937112692219416, 'loss': 5.131536675811907}"
"{'F1': 0.1824572890278093, 'Acc': 0.2736455463728191, 'loss': 5.341507621433424}",5.341507621433424,3,2179,
,,3,2179,"{'F1': 0.17981838026237612, 'Acc': 0.3183383061739729, 'loss': 5.228655786689268}"
"{'F1': 0.16081383171934688, 'Acc': 0.2516069788797062, 'loss': 6.090122520059779}",6.090122520059779,4,2724,
,,4,2724,"{'F1': 0.18405095581062147, 'Acc': 0.3253959146201515, 'loss': 5.10034742049121}"
"{'F1': 0.1898757330303042, 'Acc': 0.3659320477502296, 'loss': 5.137881147688714}",5.137881147688714,5,3269,
,,5,3269,"{'F1': 0.18698064926610442, 'Acc': 0.3295271976130365, 'loss': 4.993236797665237}"
"{'F1': 0.21073673679985316, 'Acc': 0.3415977961432507, 'loss': 5.953724190808725}",5.953724190808725,6,3814,
,,6,3814,"{'F1': 0.18473966782474222, 'Acc': 0.3268303878815699, 'loss': 5.09811898021523}"
"{'F1': 0.17827234804590694, 'Acc': 0.3581267217630854, 'loss': 4.539337932199672}",4.539337932199672,7,4359,
,,7,4359,"{'F1': 0.1926070885950923, 'Acc': 0.33279779664907044, 'loss': 5.219321241291291}"
"{'F1': 0.17044861452843013, 'Acc': 0.36363636363636365, 'loss': 4.564332364262015}",4.564332364262015,8,4904,
,,8,4904,"{'F1': 0.18828384297695083, 'Acc': 0.3309042919439982, 'loss': 5.206632632290551}"
"{'F1': 0.17889277021237238, 'Acc': 0.3209366391184573, 'loss': 5.290977813195491}",5.290977813195491,9,5449,
,,9,5449,"{'F1': 0.1925612570265311, 'Acc': 0.3304452605003443, 'loss': 5.276414007878085}"
"{'F1': 0.19580097358903828, 'Acc': 0.30257116620752983, 'loss': 4.567041041194528}",4.567041041194528,10,5994,
,,10,5994,"{'F1': 0.18971758743090486, 'Acc': 0.33027312370897405, 'loss': 5.2180704256810175}"
"{'F1': 0.19907754393373123, 'Acc': 0.3415977961432507, 'loss': 7.2327369399692705}",7.2327369399692705,11,6539,
,,11,6539,"{'F1': 0.19128670354341917, 'Acc': 0.3358962588937342, 'loss': 5.067464679753015}"
"{'F1': 0.20418375781370846, 'Acc': 0.34573002754820936, 'loss': 5.084451785985975}",5.084451785985975,12,7084,
,,12,7084,"{'F1': 0.1881433605850278, 'Acc': 0.32895340830846914, 'loss': 5.347972638016447}"
"{'F1': 0.18079184458589723, 'Acc': 0.3484848484848485, 'loss': 4.677401912385139}",4.677401912385139,13,7629,
,,13,7629,"{'F1': 0.1946716115561955, 'Acc': 0.3325109019967868, 'loss': 5.276977331703956}"
"{'F1': 0.20704715177502084, 'Acc': 0.35537190082644626, 'loss': 5.071305924567623}",5.071305924567623,14,8174,
,,14,8174,"{'F1': 0.19720091330246173, 'Acc': 0.344216203809961, 'loss': 5.16168383152113}"
"{'F1': 0.19497605221715997, 'Acc': 0.32920110192837465, 'loss': 4.35327032338018}",4.35327032338018,15,8719,
,,15,8719,"{'F1': 0.18986197308533195, 'Acc': 0.3329125545099839, 'loss': 5.407953583866084}"
"{'F1': 0.16971113497291446, 'Acc': 0.2428833792470156, 'loss': 6.05922205897345}",6.05922205897345,16,9264,
,,16,9264,"{'F1': 0.19158446526905035, 'Acc': 0.33595363782419096, 'loss': 5.5481638096888135}"
"{'F1': 0.2140992351310004, 'Acc': 0.3530762167125803, 'loss': 5.885641750218212}",5.885641750218212,17,9809,
,,17,9809,"{'F1': 0.19688005779937665, 'Acc': 0.3316502180399357, 'loss': 5.158345917168013}"
"{'F1': 0.21555275169011204, 'Acc': 0.3411386593204775, 'loss': 5.252985702044722}",5.252985702044722,18,10354,
,,18,10354,"{'F1': 0.19543742343939222, 'Acc': 0.3404865733302731, 'loss': 5.189814847543699}"
"{'F1': 0.19344454225078725, 'Acc': 0.33562901744719925, 'loss': 4.994024598080179}",4.994024598080179,19,10899,
,,19,10899,"{'F1': 0.1967925810121796, 'Acc': 0.3390521000688547, 'loss': 5.3501976658444885}"
"{'F1': 0.15340715982955572, 'Acc': 0.26584022038567495, 'loss': 6.142597323229563}",6.142597323229563,20,11444,
,,20,11444,"{'F1': 0.19795566338774692, 'Acc': 0.3403144365389029, 'loss': 5.331692293149616}"
"{'F1': 0.182405573335555, 'Acc': 0.349862258953168, 'loss': 5.402648310730423}",5.402648310730423,21,11989,
,,21,11989,"{'F1': 0.19841480148524354, 'Acc': 0.3417489098003213, 'loss': 5.264625696523474}"
