val_perf,val_loss,epoch,step,trn_perf
"{'F1': 0.2807967716422034, 'Acc': 0.45454545454545453, 'loss': 5.506270685057709}",5.506270685057709,0,544,
,,0,544,"{'F1': 0.24883972094204526, 'Acc': 0.37307780582969935, 'loss': 5.78334144102324}"
"{'F1': 0.3353772666900226, 'Acc': 0.411386593204775, 'loss': 5.46344326544499}",5.46344326544499,1,1089,
,,1,1089,"{'F1': 0.24576582383769913, 'Acc': 0.3757746155611659, 'loss': 5.541678296972853}"
"{'F1': 0.28703402099182707, 'Acc': 0.34940312213039487, 'loss': 5.986149317976357}",5.986149317976357,2,1634,
,,2,1634,"{'F1': 0.2485300511777452, 'Acc': 0.374454900160661, 'loss': 5.580612192241424}"
"{'F1': 0.3121520205547374, 'Acc': 0.3806244260789715, 'loss': 5.189952544760013}",5.189952544760013,3,2179,
,,3,2179,"{'F1': 0.24602048271220417, 'Acc': 0.3724466375946752, 'loss': 5.787456428239105}"
"{'F1': 0.26848316976947445, 'Acc': 0.40266299357208446, 'loss': 4.76589154160541}",4.76589154160541,4,2724,
,,4,2724,"{'F1': 0.25705933435433054, 'Acc': 0.3816846453982098, 'loss': 5.423879713968399}"
"{'F1': 0.272569701513062, 'Acc': 0.39348025711662077, 'loss': 4.954427732937578}",4.954427732937578,5,3269,
,,5,3269,"{'F1': 0.2493317559619317, 'Acc': 0.37359421620380995, 'loss': 5.438907043649516}"
"{'F1': 0.2286465106734359, 'Acc': 0.4118457300275482, 'loss': 5.942858087843743}",5.942858087843743,6,3814,
,,6,3814,"{'F1': 0.255100429468163, 'Acc': 0.3768074363093872, 'loss': 5.551827544247338}"
"{'F1': 0.24342915447213803, 'Acc': 0.3723599632690542, 'loss': 6.200747203135836}",6.200747203135836,7,4359,
,,7,4359,"{'F1': 0.24910260481665863, 'Acc': 0.3758893734220794, 'loss': 5.620111000428506}"
"{'F1': 0.3031167308194006, 'Acc': 0.43112947658402206, 'loss': 5.57048271358877}",5.57048271358877,8,4904,
,,8,4904,"{'F1': 0.250806880459883, 'Acc': 0.37720908882258436, 'loss': 5.519774678868985}"
"{'F1': 0.25531962802979274, 'Acc': 0.379247015610652, 'loss': 5.157689326915188}",5.157689326915188,9,5449,
,,9,5449,"{'F1': 0.25126699972012045, 'Acc': 0.3733073215515263, 'loss': 5.57734581614853}"
"{'F1': 0.30494640391340533, 'Acc': 0.4132231404958678, 'loss': 5.597710789113805}",5.597710789113805,10,5994,
,,10,5994,"{'F1': 0.25107391034933874, 'Acc': 0.3758319944916227, 'loss': 5.754724406758579}"
"{'F1': 0.2374534321216973, 'Acc': 0.40312213039485767, 'loss': 6.226639751074971}",6.226639751074971,11,6539,
,,11,6539,"{'F1': 0.24999280376858982, 'Acc': 0.38145512967638284, 'loss': 5.669982551434718}"
"{'F1': 0.32889739950334773, 'Acc': 0.4490358126721763, 'loss': 5.215301410875458}",5.215301410875458,12,7084,
,,12,7084,"{'F1': 0.2593692447871718, 'Acc': 0.37606151021344963, 'loss': 5.391969671380629}"
"{'F1': 0.2613378984284451, 'Acc': 0.38475665748393023, 'loss': 5.920801641284555}",5.920801641284555,13,7629,
,,13,7629,"{'F1': 0.2534496328943542, 'Acc': 0.37766812026623825, 'loss': 5.544320648963298}"
"{'F1': 0.2649627060288239, 'Acc': 0.4623507805325987, 'loss': 5.0480199412717335}",5.0480199412717335,14,8174,
,,14,8174,"{'F1': 0.24519342744468883, 'Acc': 0.3724466375946752, 'loss': 5.61388716041495}"
